eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
5,1873,-0.13066194050794824,,aromatic_ring,2008,992,1889,55,0.9407370517928582,0.05544354838804894,4.084700029275082,47.76452965172098,0.0
5,1380,-0.12610440755762864,,aromatic_ring,2130,870,1913,31,0.8981220657277473,0.035632183909154444,4.655658723537324,44.883216744509184,0.0
5,1750,-0.11327293634480422,,aromatic_ring,1613,1387,1612,332,0.9993800371977685,0.23936553713104589,2.061817946345698,43.456808707073215,0.0
5,378,-0.06150606821004288,,heteroaromatic_ring,509,2491,440,226,0.864440078585728,0.09072661581730601,3.252168211269253,38.27357196412703,0.0
5,561,-0.06939947147663067,,halogen,337,2663,323,402,0.9584569732938918,0.15095756665446827,2.6665705955408905,32.624485326686646,0.0
5,1088,-0.08232661665123817,,aromatic_ring,1030,1970,1021,923,0.9912621359223386,0.4685279187819957,1.0811316055043667,28.46513137037479,0.0
5,1928,-0.060980450938365856,,halogen,213,2787,207,518,0.9718309859156252,0.18586293505590748,2.386466336688671,25.826413625721663,0.0
5,1199,-0.06050355413181919,,aromatic_ring,789,2211,784,1160,0.9936628643853058,0.5246494798735755,0.9214025739024614,23.68092418875111,0.0
5,875,-0.0917742039544224,,aromatic_ring,767,2233,763,1181,0.9947848761408151,0.528884908195464,0.9114307657563477,23.308550251135053,0.0
5,216,-0.05861422378711216,,halogen,169,2831,159,566,0.940828402367214,0.19992935358558817,2.234441310074533,21.85612912355645,0.0
5,935,-0.06896169156334016,,heteroaromatic_ring,567,2433,316,350,0.5573192239866714,0.1438553226472898,1.953885316339467,21.334048056727873,0.0
5,1873,-0.13066194050794824,,heteroaromatic_ring,2008,992,633,33,0.3152390438250422,0.03326612903323259,3.2443203264652882,17.48308910185207,0.0
5,699,-0.0646982208147296,,halogen,115,2885,103,622,0.8956521739139508,0.21559792027756824,2.0545953096407277,16.705762923296266,0.0
5,1380,-0.12610440755762864,,heteroaromatic_ring,2130,870,638,28,0.29953051643225376,0.03218390804708945,3.2182915672818724,15.988112439939714,0.0
5,935,-0.06896169156334016,,amide,567,2433,228,326,0.4021164021174566,0.13399095766578956,1.585477539929815,14.81760904576901,0.0
5,378,-0.06150606821004288,,aromatic_ring,509,2491,474,1470,0.9312377210217461,0.5901244480130108,0.6581302693394806,14.683341899997963,0.0
5,935,-0.06896169156334016,,aromatic_ring,567,2433,515,1429,0.9082892416227367,0.5873407316072391,0.628954100970805,14.410481284335079,0.0
5,561,-0.06939947147663067,,aromatic_ring,337,2663,334,1610,0.9910979228486911,0.6045812992866675,0.7130912515005128,13.997460438285572,0.0
5,197,0.07089011324750305,,amide,97,2903,70,484,0.7216494845389521,0.16672407853972898,2.1138357941131587,13.855477969702655,0.0
5,1564,0.07303400802660721,,carbonyl,216,2784,203,1337,0.9398148148150934,0.4802442528737499,0.9686081607769501,13.01779811390933,0.0
5,117,0.08854935720242772,,amide,54,2946,45,509,0.8333333333364198,0.17277664630034867,2.269985463129359,12.396550765513803,0.0
5,875,-0.0917742039544224,,halogen,767,2233,309,416,0.40286831812333396,0.18629646215889553,1.1127080780827885,12.087736532220214,0.0
5,573,0.08640927670122461,,amide,51,2949,42,512,0.8235294117681661,0.17361817565304388,2.2459021878727343,11.85916300152984,0.0
5,591,0.09778804305920862,,aromatic_ring,279,2721,92,1852,0.3297491039450547,0.6806321205440351,-1.0455064977724706,-11.687167235486545,0.0
5,794,0.09404891406657276,,aromatic_ring,360,2640,134,1810,0.372222222223966,0.6856060606061797,-0.881215673590146,-11.679126094601173,0.0
5,1750,-0.11327293634480422,,heteroaromatic_ring,1613,1387,482,184,0.29882207067619415,0.13266041816933477,1.171548729336207,10.918407618084675,0.0
5,1143,0.09271121067169563,,aromatic_ring,197,2803,58,1886,0.29441624365840396,0.6728505173030065,-1.1924287559541065,-10.750178170184764,0.0
5,1911,0.11928035557601092,,aromatic_ring,453,2547,193,1751,0.4260485651226798,0.6874754613271742,-0.6902903269334849,-10.734810399065667,0.0
5,1444,0.08668633143834839,,aromatic_ring,182,2818,52,1892,0.28571428571821034,0.6713981547197759,-1.2325953990677962,-10.558888443027369,0.0
5,294,0.09534888873266079,,ester,715,2285,234,347,0.32727272727366813,0.15185995623669502,1.1077518852854453,10.358859898172057,0.0
5,1380,-0.12610440755762864,,amide,2130,870,490,64,0.230046948357169,0.07356321839186947,1.6448718146068437,10.022963207401865,0.0
5,216,-0.05861422378711216,,aromatic_ring,169,2831,167,1777,0.9881656804734428,0.6276933945603576,0.6546929240687367,9.53159773854049,0.0
5,294,0.09534888873266079,,aromatic_ring,715,2285,359,1585,0.5020979020985985,0.6936542669585586,-0.4662480729223159,-9.35994394789919,0.0
5,1088,-0.08232661665123817,,heteroaromatic_ring,1030,1970,329,337,0.31941747572881607,0.1710659898481365,0.9008902848259767,9.283606264142511,0.0
5,80,0.10769194674270757,,aromatic_ring,1690,1310,976,968,0.5775147928996582,0.738931297710123,-0.35558233445620707,-9.181369744586299,0.0
5,80,0.10769194674270757,,ester,1690,1310,425,156,0.25147928994127133,0.1190839694663213,1.0784603774124761,9.10135935651372,0.0
5,1928,-0.060980450938365856,,heteroaromatic_ring,213,2787,99,567,0.46478873239687896,0.20344456404764857,1.1919393620211245,8.845944019446371,0.0
5,1750,-0.11327293634480422,,amide,1613,1387,391,163,0.24240545567312932,0.1175198269653082,1.0445179922392196,8.789120068303953,0.0
5,352,-0.06002613532778076,,aromatic_ring,151,2849,148,1796,0.9801324503312574,0.6303966303967601,0.636716897886472,8.769106634758446,0.0
5,1380,-0.12610440755762864,,carbonyl,2130,870,1194,346,0.5605633802818965,0.39770114942597967,0.4951927692489901,8.098295997836606,4.440892098500626e-16
5,531,0.10401580242046868,,amide,33,2967,24,530,0.7272727272809918,0.1786316144256223,2.025509043406567,8.077586369897599,6.661338147750939e-16
5,301,0.09853475227538837,,amide,30,2970,22,532,0.7333333333422222,0.17912457912485552,2.0335058032309785,7.783765655418551,7.105427357601002e-15
5,80,0.10769194674270757,,nitro,1690,1310,29,98,0.01715976331419103,0.07480916030604977,-2.124185283697096,-7.7779424064037865,7.327471962526033e-15
5,689,0.09031958136215282,,amide,29,2971,21,533,0.7241379310439953,0.17940087512649633,2.013077594744157,7.52341056770242,5.3290705182007514e-14
5,699,-0.0646982208147296,,heteroaromatic_ring,115,2885,58,608,0.5043478260912665,0.21074523396907774,1.258919034282912,7.429418131296402,1.0902390101819037e-13
5,1873,-0.13066194050794824,,amide,2008,992,445,109,0.2216135458171207,0.10987903225896183,1.0121299575036788,7.419976871708217,1.1723955140041653e-13
5,1928,-0.060980450938365856,,sulfonamide,213,2787,27,81,0.1267605633843814,0.029063509149971634,2.1248251661861812,7.377162677619198,1.616484723854228e-13
5,1564,0.07303400802660721,,aromatic_ring,216,2784,93,1851,0.4305555555581919,0.6648706896552928,-0.6268743750687104,-6.946121394238704,3.7547742692822794e-12
5,699,-0.0646982208147296,,aromatic_ring,115,2885,108,1836,0.939130434783138,0.6363951473138175,0.5614027113386577,6.666001592608088,2.6286528509444906e-11
5,875,-0.0917742039544224,,heteroaromatic_ring,767,2233,236,430,0.3076923076932103,0.19256605463538173,0.6761349680934442,6.618956099311989,3.6174396811361476e-11
5,1873,-0.13066194050794824,,halogen,2008,992,557,168,0.2773904382473718,0.16935483871051477,0.7118688509921131,6.5028764119179945,7.879852326198034e-11
5,1564,0.07303400802660721,,ester,216,2784,78,503,0.36111111111406896,0.18067528735661614,0.9990436227514481,6.464558720261515,1.0159473262660867e-10
5,1088,-0.08232661665123817,,amide,1030,1970,255,299,0.24757281553471108,0.15177664974662347,0.7059030549340749,6.420625968995247,1.3571499479780869e-10
5,1032,-0.05980380209293732,,halogen,27,2973,20,705,0.7407407407503429,0.23713420787109413,1.6432648933625227,6.085154586580591,1.163789509206481e-09
5,1898,0.07143069844553744,,amide,29,2971,18,536,0.6206896551854935,0.1804106361497205,1.7825877057205777,6.080731590642682,1.1963541268755762e-09
5,80,0.10769194674270757,,carbonyl,1690,1310,950,590,0.562130177515052,0.4503816793897325,0.31975612422369365,6.07357689401087,1.250920700357483e-09
5,591,0.09778804305920862,,ester,279,2721,92,489,0.3297491039450547,0.17971334068387368,0.8756712305333607,6.039705900673968,1.5439538536554664e-09
5,1380,-0.12610440755762864,,halogen,2130,870,579,146,0.2718309859158348,0.1678160919549795,0.6958288547257007,6.038733756196836,1.5532828356867867e-09
5,362,0.09855330689425755,,amide,22,2978,15,539,0.6818181818326446,0.18099395567522464,1.9134455528292262,6.031655579278239,1.6228838273235624e-09
5,573,0.08640927670122461,,carbonyl,51,2949,47,1493,0.9215686274525182,0.5062733129876208,0.8641751666352677,5.883060906749809,4.027476352419512e-09
5,935,-0.06896169156334016,,halogen,567,2433,191,534,0.3368606701951731,0.21948212083879182,0.6180485763472953,5.879660437395442,4.111089690894687e-09
5,794,0.09404891406657276,,ester,360,2640,111,470,0.30833333333525464,0.17803030303061437,0.7923680377077141,5.868976310100765,4.384940854862407e-09
5,1873,-0.13066194050794824,,sulfonamide,2008,992,100,8,0.04980079681322221,0.008064516130032192,2.626508946045654,5.772993121629975,7.787562150696203e-09
5,837,0.07575029846425532,,hydroxyl,31,2969,26,1018,0.8387096774245577,0.34287638935690706,1.2904829396731956,5.7656407500796565,8.13481770833846e-09
5,875,-0.0917742039544224,,nitro,767,2233,60,67,0.07822685788907663,0.03000447828077474,1.3824861734715634,5.722445100845812,1.0500178060368626e-08
5,117,0.08854935720242772,,carbonyl,54,2946,48,1492,0.8888888888909465,0.5064494229465355,0.8115848933411615,5.571854836983939,2.5204139220136312e-08
5,1928,-0.060980450938365856,,aromatic_ring,213,2787,175,1769,0.8215962441322929,0.6347326874777055,0.37228044602101407,5.503810022466817,3.716700502920389e-08
5,1873,-0.13066194050794824,,nitro,2008,992,113,14,0.05627490039887636,0.01411290322680029,1.9954767967041402,5.3957251466557965,6.824735265809068e-08
5,378,-0.06150606821004288,,amide,509,2491,137,417,0.2691552062882728,0.16740264953867226,0.68511596968582,5.3909909675972525,7.007019720006724e-08
5,294,0.09534888873266079,,halogen,715,2285,119,606,0.16643356643473226,0.26520787746202834,-0.6721772018769706,-5.384446370949944,7.26679654228235e-08
5,352,-0.06002613532778076,,halogen,151,2849,63,662,0.4172185430502171,0.2323622323625018,0.8444276837031437,5.170944816686085,2.3291334683150922e-07
5,875,-0.0917742039544224,,hydroxyl,767,2233,324,720,0.42242503259527714,0.32243618450545347,0.3896816748757042,5.015561516737287,5.287880167070824e-07
